"nama_tabel","nama_kolom","tipe_data","tipe_prisma","kelompok"
"penduduk","rumah_dinding","character varying","string","sandang_pangan_papan"
"penduduk","rumah_atap","character varying","string","sandang_pangan_papan"
"penduduk","rumah_jamban","character varying","string","sandang_pangan_papan"
"penduduk","rumah_kamar","integer","int","sandang_pangan_papan"
"penduduk","rumah_milik","character varying","string","sandang_pangan_papan"
"penduduk","rumah_tingkat","character varying","string","sandang_pangan_papan"
"penduduk","rumah_luas","numeric","float","sandang_pangan_papan"
"penduduk","ternak","character varying","string","sandang_pangan_papan"
"penduduk","ternak_sapi","integer","int","sandang_pangan_papan"
"penduduk","ternak_kerbau","integer","int","sandang_pangan_papan"
"penduduk","ternak_domba","integer","int","sandang_pangan_papan"
"penduduk","ternak_kambing","integer","int","sandang_pangan_papan"
"penduduk","ternak_ayam","integer","int","sandang_pangan_papan"
"penduduk","ternak_itik","integer","int","sandang_pangan_papan"
"penduduk","ternak_kuda","integer","int","sandang_pangan_papan"
"penduduk","ternak_babi","integer","int","sandang_pangan_papan"
"penduduk","ternak_ikan","integer","int","sandang_pangan_papan"
